Date,Price,Open,High,Low,
07/26/2022,369.95,371.05,371.15,368.55,
07/25/2022,371.15,372.55,373.5,370.4,
07/22/2022,372.55,370,373.1,368.95,
07/21/2022,370.75,368,371.35,366.25,
07/20/2022,367.85,369.95,371.95,366.6,
07/19/2022,370.95,369.3,371.5,369.3,
07/18/2022,370.7,370.6,372.4,369.6,
07/15/2022,369.15,368,371.3,368,
07/14/2022,369.9,372.8,372.8,368.5,
07/13/2022,371.2,372.95,373.95,370.3,
07/12/22,370.9,368.8,372.85,367.75,
07/11/22,369.2,367.1,369.95,366.85,
07/08/22,368.45,367,369.05,366,
07/07/22,366.95,369.9,369.9,366.1,
07/06/22,368.25,367,370.35,366.95,
07/05/22,366.65,368.95,371.25,365.6,
07/04/22,368.55,366.95,369.9,366.05,
07/01/22,367.55,363.95,368.6,362.1,
06/30/2022,363,365.55,365.95,362.1,
06/29/2022,365.5,364.95,367.5,364.1,
06/28/2022,366.45,365.85,367.35,363.5,
06/27/2022,365.15,362.25,365.7,360.5,
06/24/2022,360.6,362,362,359.2,
06/23/2022,358.95,358.4,362,358.05,
06/22/2022,357.95,358.9,358.9,355.5,
06/21/2022,358.9,358.1,360.95,358.1,
06/20/2022,357.3,357.5,359.95,356.1,
06/17/2022,357.35,359,361.05,356.65,
06/16/2022,359.4,363.85,364.15,358.65,
06/15/2022,361.95,359.9,362.45,359,
06/14/2022,359.55,362.1,363.3,358,
06/13/2022,362.7,363.05,364.95,361.9,
06/10/22,365.15,363.25,366.6,363.25,
06/09/22,365.3,363,368.5,362.5,
06/08/22,363.05,363.4,364.55,361.8,
06/07/22,363.35,363.6,367.5,361.7,
06/06/22,364.9,366,369.5,363.85,
06/03/22,366.9,375,375.35,365.35,
06/02/22,373.5,371.4,376.35,370.95,
06/01/22,371.65,370,373,369.15,
05/31/2022,369.4,371.55,372.8,368.65,
05/30/2022,371.55,368.5,372.5,366.75,
05/27/2022,366.3,368,368.15,363.75,
05/26/2022,365.4,362.15,366.3,359.7,
05/25/2022,361.7,362.4,364.25,360.65,
05/24/2022,361.45,364.8,365.7,360.45,
05/23/2022,363.45,365.65,367.3,362.4,
05/20/2022,363,368,368,362.05,
05/19/2022,364,358.15,364.95,357.25,
05/18/2022,361.1,369.25,372.6,359.7,
05/17/2022,368.8,371,372.15,364,
05/16/2022,368,367,377.7,360.35,
05/13/2022,359.1,378,378.55,356.1,
05/12/22,373.55,356.85,382,349.3,
05/11/22,359.05,360,365.8,351.2,
05/10/22,358.2,368.55,373.9,355,
05/09/22,366.75,363.35,369,359.45,
05/06/22,365.4,360.55,372.35,360.55,
05/05/22,366.35,371,375.35,364.95,
05/04/22,368.1,379.55,382,364.65,
05/02/22,378.15,371.6,380.5,368.75,
04/29/2022,372.2,384.7,385.5,370.75,
04/28/2022,383.35,389.9,389.9,380.45,
04/27/2022,384.55,385,387.7,376.25,
04/26/2022,385.15,382,391,381.3,
04/25/2022,376.35,371.8,387.6,370,
04/22/2022,374.2,378,381,371.05,
04/21/2022,377.35,378.9,384.35,374.8,
04/20/2022,371.3,355,375.8,355,
04/19/2022,354.25,366.75,370,351,
04/18/2022,363.4,369,379.65,360.5,
04/13/2022,369.2,359.95,374.2,359,
04/12/22,359.65,364,371.6,355.75,
04/11/22,360.2,338.45,369.5,338.3,
04/08/22,337.35,327.25,339.8,323.45,
04/07/22,325.6,320.2,327.4,320.05,
04/06/22,320.7,316.8,325,315.45,
04/05/22,316.8,314.45,317.7,310.35,
04/04/22,311.65,305.5,313.5,305.1,
04/01/22,304.95,298.9,306.5,298.5,
03/31/2022,299.25,303.05,303.7,298.75,
03/30/2022,303.05,300.8,304.8,298.8,
03/29/2022,302.45,293.05,303.25,293.05,
03/28/2022,291.8,299.4,299.4,288.5,
03/25/2022,297.8,299.9,299.9,294.55,
03/24/2022,297.05,296.95,299.65,295,
03/23/2022,297.85,303,303.35,295.55,
03/22/2022,300.9,300.45,302.9,296.05,
03/21/2022,300.35,306,309.2,300,
03/17/2022,306.2,314.2,314.9,305.45,
03/16/2022,309.35,300,311.45,297,
03/15/2022,295.1,293.6,301.85,292.85,
03/14/2022,291.2,294.65,297.5,289.05,
03/11/22,293.45,293,296,290.3,
03/10/22,293.2,300,302,291,
03/09/22,291.65,285.8,292.65,281,
03/08/22,282.9,281.05,284.55,274,
03/07/22,281.2,287.95,289,278,
03/04/22,292.6,285.2,296.2,283.7,
03/03/22,290.2,308.6,311.1,287.9,
03/02/22,304.15,312.8,314.85,301,
02/28/2022,314.25,306.3,315.95,302.95,
02/25/2022,308.7,311,315.95,306.1,
02/24/2022,306.95,316,322.35,302.05,
02/23/2022,330.95,338.9,340.5,329.6,
02/22/2022,337.35,334,338.45,331.1,
02/21/2022,338.55,334.2,341.3,331.25,
02/18/2022,338.35,352.7,354,337.2,
02/17/2022,359.8,362.5,364.5,357.5,
02/16/2022,360.7,365.1,367.85,359.5,
02/15/2022,363.55,357,365,353.75,
02/14/2022,355.1,362,365,354.05,
02/11/22,367.9,375,375.85,366.6,
02/10/22,374.85,381.75,384.4,373.4,
02/09/22,382.8,379.35,385.9,376.85,
02/08/22,376.3,383,386.1,373.25,
02/07/22,382.65,380,383.9,374.2,
02/04/22,380.4,383,384.9,378,
02/03/22,381.9,377.3,384.3,377.3,
02/02/22,380,383.7,386.3,377.85,
02/01/22,380.4,370,382.85,366.5,
01/31/2022,365.15,364.6,369.25,363,
01/28/2022,360.7,354.4,367.1,353,
01/27/2022,351.65,350.9,354.3,340.45,
01/25/2022,351.5,351.95,356.5,343.45,
01/24/2022,352.85,368,371.2,349,
01/21/2022,368.65,374.6,374.6,364.05,
01/20/2022,375.1,375.25,379.8,372.45,
01/19/2022,374.85,381.95,382,373.1,
01/18/2022,380.65,410,410,379,
01/17/2022,407.8,403.5,408.7,395,
01/14/2022,402.7,395.1,405,394.2,
01/13/2022,396.4,399,400.5,394.65,
01/12/22,397.9,398.25,402.7,395.65,
01/11/22,397.65,401,405,393.35,
01/10/22,399.35,400,401.95,397.3,
01/07/22,397.25,387.05,401.95,387.05,
01/06/22,387.05,390.1,393,383.55,
01/05/22,393.7,389.95,394.65,388.75,
01/04/22,390.45,387.55,391.7,383.3,
01/03/22,387,378.75,389.45,378.2,
12/31/2021,377.5,372.4,384.3,372,
12/30/2021,370.95,375.7,377.95,369.6,
12/29/2021,375.8,380.75,382.15,374.5,
12/28/2021,380.2,370.2,381.2,368.7,
12/27/2021,369.95,367,370.75,364,
12/24/2021,367.9,369.5,370.8,363.2,
12/23/2021,369.4,367,370.5,365,
12/22/2021,363.75,361.25,367,359.7,
12/21/2021,361.45,353.05,363.8,351.25,
12/20/2021,350.3,361.2,364.2,347,
12/17/2021,368.6,375.6,377.2,367,
12/16/2021,375.7,380,381.6,374.6,
12/15/2021,378.9,378.6,381.9,375.3,
12/14/2021,378.55,377.9,380.85,374,
12/13/2021,379.85,382.65,382.65,378.6,
12/10/21,377.65,377.6,381.35,376.65,
12/09/21,377.55,379.4,381,375.1,
12/08/21,376.95,376.4,380.4,375.2,
12/07/21,372.75,372.9,377.25,370.9,
12/06/21,370.15,378.6,378.95,368.3,
12/03/21,376.6,377.3,387.4,375.8,
12/02/21,377.35,371.9,379.4,368,
12/01/21,371.4,379.6,380.45,368.05,
11/30/2021,374.6,370,378.1,367,
11/29/2021,369.15,370,375.4,360.05,
11/26/2021,372.35,386,387.75,370.9,
11/25/2021,390.6,392.9,393.5,389,
11/24/2021,393.5,397.05,398.55,390.8,
