Date,Price,Open,High,Low,
02/08/22,4312.85,4421.8,4444,4258,
02/07/22,4397.25,4500,4519,4360,
02/04/22,4492.55,4550,4555.55,4456.7,
02/03/22,4525.05,4656,4659,4500,
02/02/22,4628.4,4478.1,4659.95,4468.15,
02/01/22,4437.8,4510,4549,4403.55,
01/31/2022,4407.25,4300,4524.95,4189.25,
01/28/2022,4392,4400,4829.6,4117.5,
01/27/2022,4390.55,4525,4525,4379.05,
01/25/2022,4552.1,4590,4725,4411,
01/24/2022,4620.55,4980,4997,4588,
01/21/2022,4979.25,5170,5227,4941.55,
01/20/2022,5226.25,5263,5287.4,5210,
01/19/2022,5259.2,5260,5303.7,5210,
01/18/2022,5235.65,5440,5444.1,5181,
01/17/2022,5388.1,5280,5410,5255,
01/14/2022,5268.35,5250,5310,5245.9,
01/13/2022,5269.45,5330,5352.95,5245.9,
01/12/22,5266,5306.75,5369,5241,
01/11/22,5265.1,5296.5,5328.3,5258.65,
01/10/22,5290.2,5322,5356.95,5278,
01/07/22,5295.05,5390.85,5392.95,5280,
01/06/22,5338.5,5300,5347.8,5220,
01/05/22,5312.95,5479,5479,5300,
01/04/22,5480.95,5540,5554.7,5442.2,
01/03/22,5517.1,5526,5573.1,5505,
12/31/2021,5509.55,5575,5600,5491.15,
12/30/2021,5555.5,5543.5,5584.55,5500,
12/29/2021,5554.8,5578,5632.65,5540,
12/28/2021,5598.5,5706.4,5726,5576.25,
12/27/2021,5617.35,5423,5660,5337.1,
12/24/2021,5423.4,5388,5469,5384.95,
12/23/2021,5369.1,5362,5499.9,5342,
12/22/2021,5413.25,5531,5620,5331.7,
12/21/2021,5501.45,5318.3,5531.15,5250.05,
12/20/2021,5227,5250,5274.95,5055,
12/17/2021,5383.55,5550.2,5611.55,5358.2,
12/16/2021,5526.35,5606.6,5719,5500.1,
12/15/2021,5584.75,5560,5659.8,5501.1,
12/14/2021,5529.35,5679.8,5679.8,5485,
12/13/2021,5708.5,5620,5858.55,5580,
12/10/21,5544.45,5423,5573.45,5389.2,
12/09/21,5389.2,5400,5429.9,5370,
12/08/21,5377.4,5280,5399,5251,
12/07/21,5220.5,5150,5234.5,5111,
12/06/21,5112.1,5200,5256.3,5090.05,
12/03/21,5178.65,5125,5267.2,5100.1,
12/02/21,5095.65,5083,5122.95,5040.5,
12/01/21,5077.75,5100.5,5180.65,5051,
11/30/2021,5100.7,5006,5175,5006,
11/29/2021,5003.8,4935,5149.45,4831.8,
11/26/2021,5102.5,5200,5209.95,5007.25,
11/25/2021,5222.25,5125,5300,5082.05,
11/24/2021,5077.55,5120,5147.95,5051,
11/23/2021,5084,5045,5120,4940.1,
11/22/2021,5067.55,5417,5417,5000,
11/18/2021,5388.45,5439,5522.05,5230.1,
11/17/2021,5449.1,5479.95,5533,5415,
11/16/2021,5479.35,5444.6,5597.95,5361.05,
11/15/2021,5410.55,5459.4,5486.8,5361,
11/12/21,5405.85,5435,5524,5340.6,
11/11/21,5382.65,5530,5568.7,5360.55,
11/10/21,5527.3,5600,5600,5490.5,
11/09/21,5595.25,5537,5724.45,5501.1,
11/08/21,5535.45,5610,5633.25,5478.75,
11/04/21,5590.5,5597.1,5643.3,5562.75,
11/03/21,5561.7,5539,5644,5516.3,
11/02/21,5493.5,5300,5530,5284.85,
11/01/21,5306.1,4993,5344.7,4990,
10/29/2021,4993.55,5085,5138.75,4750,
10/28/2021,5160.45,5163.9,5276.95,5044.05,
10/27/2021,5146.25,5181.9,5258.8,5111.25,
10/26/2021,5161.1,4832,5217.75,4735,
10/25/2021,4831.2,5130,5156.1,4801,
10/22/2021,5112.05,5340,5368,5050.1,
10/21/2021,5267.85,5260,5375,5032.55,
10/20/2021,5209.35,5720,5720,4876.05,
10/19/2021,5721.3,5845,6243.6,5555,
10/18/2021,5753.45,5632,5810.95,5600.5,
10/14/2021,5511.3,5555.75,5650,5490,
10/13/2021,5503.9,5504,5610,5409.05,
10/12/21,5463.5,5390,5566,5370.95,
10/11/21,5393.7,5400,5570,5201.15,
10/08/21,5254.1,4922,5352.35,4880,
10/07/21,4865.8,4852,4962,4835,
10/06/21,4834.75,4848,4967,4755.4,
10/05/21,4830.5,4856,4948,4800,
10/04/21,4859.8,4939.95,5072.3,4830,
10/01/21,4844.6,4579.75,4900,4545.6,
09/30/2021,4611.9,4484.5,4644,4450,
09/29/2021,4465.4,4360,4488,4325,
09/28/2021,4449.4,4518,4565,4405,
09/27/2021,4491.95,4387,4520,4306,
09/24/2021,4380.05,4434,4479.85,4351.55,
09/23/2021,4396.3,4222,4460,4211.05,
09/22/2021,4163.15,4051.1,4200.25,4025.65,
09/21/2021,4107.45,4150.55,4154.85,3992.65,
09/20/2021,4168.7,4220,4253.25,4118,
09/17/2021,4245.1,4261,4320.2,4150.8,
09/16/2021,4251.45,4255,4290,4232,
09/15/2021,4271.75,4270,4288,4222,
09/14/2021,4289.15,4324.4,4336.35,4263.05,
09/13/2021,4306.75,4315,4346.85,4251.05,
09/09/21,4317.2,4308,4367.3,4292,
09/08/21,4310.35,4349.7,4399.9,4274.05,
09/07/21,4326.15,4250.55,4348,4200.6,
09/06/21,4288.25,4250,4310,4240.1,
09/03/21,4240.2,4312,4337.2,4221.4,
09/02/21,4294.25,4141,4330,4140.95,
