Date,Price,Open,High,Low,
10/05/23,2313.85,2325,2329,2310,
10/04/23,2314.3,2312,2318.7,2295.15,
10/03/23,2318.25,2337,2337,2316,
09/29/2023,2346.5,2347.95,2369.5,2334.1,
09/28/2023,2334,2384,2384,2325.65,
09/27/2023,2369.1,2349,2371.7,2339,
09/26/2023,2341.55,2343.7,2350,2336.1,
09/25/2023,2340.05,2353.85,2359.9,2335.8,
09/22/2023,2354.05,2368.15,2383.65,2350,
09/21/2023,2364.55,2379.95,2390,2359,
09/20/2023,2382.1,2422.95,2426.4,2361.6,
09/18/2023,2436,2442,2451.55,2432.6,
09/15/2023,2460.05,2466.05,2467.1,2449.6,
09/14/2023,2451.1,2456.35,2465,2445,
09/13/2023,2452.75,2443.55,2462.5,2415.6,
09/12/23,2437.95,2489.7,2489.7,2435.2,
09/11/23,2474.4,2455.95,2476,2452.05,
09/08/23,2449.05,2436.4,2455.65,2423.4,
09/07/23,2431.5,2425.85,2438,2411.4,
09/06/23,2428.1,2422.95,2436,2418,
09/05/23,2423.95,2418.25,2433.95,2411,
09/04/23,2410.15,2410.05,2423,2406,
09/01/23,2413.05,2408,2425.7,2401.3,
08/31/2023,2406.9,2420.05,2425.9,2400,
08/30/2023,2418.3,2430.3,2443.25,2415.05,
08/29/2023,2420.25,2447,2452.15,2408.45,
08/28/2023,2442.55,2474,2483.5,2432,
08/25/2023,2469.95,2454,2505,2443.95,
08/24/2023,2478.65,2542,2542,2471.6,
08/23/2023,2523.15,2527.95,2542.4,2518.05,
08/22/2023,2519,2518.25,2537.45,2498.55,
08/21/2023,2518.25,2531,2554.9,2513.55,
08/18/2023,2556.7,2532,2577,2508.5,
08/17/2023,2537.75,2568,2577.95,2532.2,
08/16/2023,2574.9,2556.65,2582.15,2550.65,
08/14/2023,2576.75,2533.05,2582,2524.2,
08/11/23,2548,2535.45,2558.3,2512.1,
08/10/23,2535.65,2527,2550,2508.8,
08/09/23,2523.55,2507,2529.4,2481,
08/08/23,2505.65,2525.3,2534.6,2499.45,
08/07/23,2523.45,2515,2528.35,2505.05,
08/04/23,2510.15,2485,2517.2,2472,
08/03/23,2474.95,2471.45,2499.9,2458,
08/02/23,2486.35,2500,2511.8,2463.2,
08/01/23,2512.65,2547.85,2559,2505.9,
07/31/2023,2547.85,2527.9,2553.65,2518.75,
07/28/2023,2527.6,2509.05,2541.9,2501,
07/27/2023,2506.3,2529,2538,2491.45,
07/26/2023,2525.7,2480.1,2547.25,2480.1,
07/25/2023,2484.7,2491.5,2505,2480.05,
07/24/2023,2487.55,2484,2514.8,2469.55,
07/21/2023,2536.2,2603,2613.8,2523.35,
07/20/2023,2619.8,2589,2632,2582,
07/19/2023,2589,2581.71,2602.68,2549.3,
07/18/2023,2572.96,2563.52,2587.18,2547.07,
07/17/2023,2549.25,2503.95,2567.12,2487.4,
07/14/2023,2496.84,2507.91,2516.8,2483.02,
07/13/2023,2500.71,2535.12,2552.49,2495.79,
07/12/23,2521.72,2525.05,2554.54,2517.89,
07/11/23,2519.99,2507.14,2525.05,2496.47,
07/10/23,2493.42,2448.61,2511.51,2436.53,
07/07/23,2402.53,2400.11,2429.47,2395.19,
07/06/23,2405.17,2348.33,2410.6,2348.33,
07/05/23,2356.36,2370.71,2373.86,2348.06,
07/04/23,2359.5,2389.36,2394.37,2345.83,
07/03/23,2384.07,2327.55,2390.27,2327.55,
06/30/2023,2325.27,2315.56,2330.74,2309.13,
06/28/2023,2305.81,2293.64,2313.01,2276.95,
06/27/2023,2275.22,2279.96,2288.17,2266.65,
06/26/2023,2273.76,2282.7,2293.54,2269.25,
06/23/2023,2292.95,2306.4,2308.95,2289.17,
06/22/2023,2311.5,2335.3,2345.51,2308.45,
06/21/2023,2337.03,2330.42,2342.04,2322.76,
06/20/2023,2321.67,2325.09,2337.39,2310.96,
06/19/2023,2326,2353.99,2355.63,2318.61,
06/16/2023,2347.79,2329.74,2352.89,2329.74,
06/15/2023,2326.04,2321.94,2335.48,2311.14,
06/14/2023,2327,2295.5,2329.19,2294.18,
06/13/2023,2297.65,2270.62,2300.29,2266.52,
06/12/23,2263.64,2258.99,2269.02,2247.23,
06/09/23,2262.55,2274.54,2286.43,2259.04,
06/08/23,2278.87,2281.24,2293.64,2270.85,
06/07/23,2276.82,2266.38,2278.64,2253.84,
06/06/23,2261.05,2262,2270.02,2244.91,
06/05/23,2257.9,2247.23,2264.19,2240.85,
06/02/23,2237.98,2256.26,2263.37,2234.43,
06/01/23,2244.45,2258.99,2264.87,2240.72,
05/31/2023,2255.99,2285.39,2287.21,2244.13,
05/30/2023,2296.74,2297.28,2313.19,2291.72,
05/29/2023,2297.1,2296.37,2306.4,2285.39,
05/26/2023,2285.02,2236.75,2288.17,2232.69,
05/25/2023,2223.03,2218.43,2232.06,2202.2,
05/24/2023,2221.66,2230.37,2245.32,2218.24,
05/23/2023,2237.21,2247.14,2250.11,2235.16,
05/22/2023,2237.57,2215.24,2247.14,2215.24,
05/19/2023,2226.91,2217.7,2229.59,2205.71,
05/18/2023,2218.75,2237.84,2239.03,2213.41,
05/17/2023,2223.26,2242.9,2245.96,2214.51,
05/16/2023,2236.98,2275.4,2277.23,2234.38,
05/15/2023,2268.25,2266.29,2282.47,2254.07,
05/12/23,2264.56,2258.08,2268.11,2239.44,
05/11/23,2259.27,2278.59,2287.25,2255.17,
05/10/23,2275.68,2265.92,2278.96,2262.19,
05/09/23,2260.04,2256.26,2267.15,2245.78,
05/08/23,2252.93,2234.34,2264.01,2228.77,
05/05/23,2225.54,2228,2244.13,2220.48,
05/04/23,2231.46,2209.22,2235.52,2200.88,
05/03/23,2205.94,2230.73,2230.73,2200.06,
05/02/23,2225.31,2224.35,2229.82,2214.1,
04/28/2023,2206.3,2169.52,2209.77,2169.47,
04/27/2023,2167.38,2155.98,2172.39,2155.07,
04/26/2023,2153.29,2169.47,2171.02,2145.82,
04/25/2023,2165.19,2159.45,2170.57,2142.63,
04/24/2023,2148.83,2155.98,2172.3,2141.12,
