Date,Price,Open,High,Low,
03/17/2021,3179.31,3245.53,3267.35,3163.82,
03/16/2021,3243.59,3287.33,3288.38,3236.56,
03/15/2021,3252.65,3348.17,3357.53,3231.58,
03/12/21,3338.75,3343.18,3406.96,3298.34,
03/10/21,3407.31,3436.85,3462.76,3395.85,
03/09/21,3436.7,3452.85,3477.71,3404.47,
03/08/21,3451.75,3449.46,3477.21,3410.65,
03/05/21,3449.51,3402.97,3479.2,3382.05,
03/04/21,3407.8,3386.03,3447.81,3356.39,
03/03/21,3412.29,3497.64,3498.53,3382.05,
03/02/21,3464.16,3340.19,3477.71,3339.7,
03/01/21,3338.4,3243.54,3351.21,3238.55,
02/26/2021,3212.65,3393.01,3411.59,3188.53,
02/25/2021,3422.3,3437.85,3447.81,3390.27,
02/24/2021,3429.48,3427.88,3487.67,3339.3,
02/23/2021,3393.46,3402.13,3467.29,3365.16,
02/22/2021,3402.13,3388.02,3420.86,3338.35,
02/19/2021,3377.76,3510.44,3510.44,3358.13,
02/18/2021,3510.44,3567.04,3616.27,3493.65,
02/17/2021,3571.38,3451.25,3582.34,3445.07,
02/16/2021,3449.36,3457.78,3473.02,3419.91,
02/15/2021,3453.2,3476.66,3493.8,3439.84,
02/12/21,3498.39,3518.49,3562.32,3485.6,
02/11/21,3524.01,3506.59,3536.45,3456.39,
02/10/21,3521.47,3472.76,3551.12,3468.04,
02/09/21,3482.17,3443.91,3520.53,3439.28,
02/08/21,3477.74,3460.82,3489.58,3398.53,
02/05/21,3412.26,3482.71,3542.42,3349.38,
02/04/21,3423.71,3424,3497.64,3387.29,
02/03/21,3364.1,3280.27,3405.1,3251.86,
02/02/21,3277.58,3383.21,3383.21,3244.89,
02/01/21,3324.15,3283.7,3344.2,3201.36,
01/29/2021,3239.97,3403.01,3467.79,3210.47,
01/28/2021,3380.62,3322.46,3446.99,3308.73,
01/27/2021,3341.96,3432.96,3466.79,3313.5,
01/25/2021,3457.79,3401.07,3502.76,3340.47,
01/22/2021,3358.23,3248.87,3466.74,3242.8,
01/21/2021,3231.26,3259.42,3329.47,3203.8,
01/20/2021,3259.42,3223,3276.24,3214.35,
01/19/2021,3216.93,3154.84,3224.74,3154.84,
01/18/2021,3147.53,3184.2,3201.66,3067.03,
01/15/2021,3187.18,3233.95,3254.7,3158.32,
01/14/2021,3250.47,3248.87,3278.73,3222.06,
01/13/2021,3240.72,3243.9,3301.61,3200.81,
01/12/21,3232.21,3174.25,3278.73,3164.74,
01/11/21,3181.91,3145.39,3208.97,3131.51,
01/08/21,3145.49,3054.84,3150.31,3047.97,
01/07/21,3040.16,3078.72,3099.37,3019.01,
01/06/21,3068.32,3066.08,3108.17,3030.96,
01/05/21,3052.05,3036.93,3059.17,3016.03,
01/04/21,3028.82,3096.63,3108.52,3022.25,
01/01/21,3087.33,3099.61,3105.39,3077.72,
12/31/2020,3094.64,3091.66,3102.4,3069.76,
12/30/2020,3086.08,3064.79,3092.6,3050.46,
12/29/2020,3058.82,3080.71,3090.66,3045.88,
12/28/2020,3067.38,3080.71,3108.57,3047.57,
12/24/2020,3057.92,3029.96,3068.47,3015.03,
12/23/2020,3025.03,3031.55,3058.32,2997.12,
12/22/2020,3034.04,3005.08,3044.89,2886.27,
12/21/2020,2979.31,3132.45,3137.28,2930.41,
12/18/2020,3119.81,3085.68,3128.47,3085.68,
12/17/2020,3097.28,3119.52,3141.91,3085.73,
