Date,Price,Open,High,Low,
08/25/2022,312.35,315.45,316.4,311.6,
08/24/2022,314.1,315.75,319.45,313.05,
08/23/2022,315.9,312.95,316,312.1,
08/22/2022,314.4,311.2,317,311,
08/19/2022,312,316.15,316.15,311.2,
08/18/2022,315.65,313,316,312.6,
08/17/2022,312.55,311.7,313.25,311,
08/16/2022,310.55,308.55,311.5,308.55,
08/12/22,308.55,306.25,309.4,304.5,
08/11/22,306.25,313,313.45,305.3,
08/10/22,311.2,313.15,314.1,310.75,
08/08/22,313.15,310.95,313.95,310.05,
08/05/22,310.85,309.5,311.8,309.1,
08/04/22,309.5,308,310.35,307.15,
08/03/22,308.15,310.9,310.9,303.65,
08/02/22,309.95,310,316.65,308.2,
08/01/22,307.5,304,308.8,303.1,
07/29/2022,303.05,305,305.9,301.35,
07/28/2022,303.45,304.9,305.2,302.4,
07/27/2022,304.15,302.85,305,300.6,
07/26/2022,302.45,301,303.75,300.45,
07/25/2022,301.1,299,302.95,298.8,
07/22/2022,300.55,300,302.5,298.1,
07/21/2022,299.55,299,302.2,298,
07/20/2022,298.2,294.9,299.5,293.6,
07/19/2022,294.6,295,295.6,292.7,
07/18/2022,295.3,295,296.3,293.75,
07/15/2022,293.55,292,294,289.5,
07/14/2022,290.85,294.3,296.35,289.15,
07/13/2022,294.05,293,294.8,292.7,
07/12/22,292.7,293,295.35,290.9,
07/11/22,295,293,296.95,292.05,
07/08/22,293.05,292.9,294.45,290.4,
07/07/22,291.95,291,293.15,288.5,
07/06/22,289.3,286.1,290,285.3,
07/05/22,286.9,293,293,285.75,
07/04/22,291.9,285.65,293.3,284.8,
07/01/22,284.35,273.5,285,271.2,
06/30/2022,273.5,273.95,274.7,272,
06/29/2022,274.05,269.25,275,269.15,
06/28/2022,271.85,268.9,272.25,268.55,
06/27/2022,269.95,267,270.65,266.5,
06/24/2022,265.85,266.1,268.35,265.2,
06/23/2022,265.5,265.5,267.25,262.4,
06/22/2022,265.3,267,270.3,264.9,
06/21/2022,269.9,265,270.85,264.1,
06/20/2022,264.1,263.3,266.15,261.35,
06/17/2022,263.3,259,264.15,258.55,
06/16/2022,260.7,267,267.9,259.5,
06/15/2022,263.4,266,267.3,263.05,
06/14/2022,265.45,263.2,267.45,263.05,
06/13/2022,264.65,266.4,269.1,263,
06/10/22,270.15,269.05,271,268.75,
06/09/22,270.85,267.8,271.7,265.75,
06/08/22,267.9,273.95,274.4,266.2,
06/07/22,273.9,273.2,275,272.25,
06/06/22,274.8,272.4,275.8,269.7,
06/03/22,272.7,275,275.7,271.6,
06/02/22,273.5,270.7,274.45,267.85,
06/01/22,271.85,270.65,274.1,270.2,
05/31/2022,270.65,269.05,274.5,266.4,
05/30/2022,269.05,270.5,271,267.6,
05/27/2022,269.2,269,270.7,265.05,
05/26/2022,266.7,268.25,268.25,263.85,
05/25/2022,272.7,272.95,273.9,270.5,
05/24/2022,270.85,275,275,270,
05/23/2022,274.5,280,280.45,273.05,
05/20/2022,280,277,282.35,277,
05/19/2022,275.65,262.6,279.25,262.6,
05/18/2022,266.8,266,267.8,263.15,
05/17/2022,264.7,255,265.5,254.8,
05/16/2022,254.1,259.95,259.95,253,
05/13/2022,258.6,254.95,260.85,254.5,
05/12/22,252.9,255,256.4,249.15,
05/11/22,255.65,259,262.2,251.75,
05/10/22,259.75,262,266.8,259.1,
05/09/22,262.95,266.15,266.15,260.55,
05/06/22,266.65,259,267.35,258.9,
05/05/22,262.05,262,265.2,260.4,
05/04/22,259.75,264,266.05,258.6,
05/02/22,263.15,258,264.5,257.05,
04/29/2022,259.55,263,263,258.5,
04/28/2022,261.1,259.5,263.7,258.15,
04/27/2022,257.5,256.2,258.5,255.75,
04/26/2022,258.95,256.6,260.7,256.25,
04/25/2022,255.25,258.8,259,252.5,
04/22/2022,261.1,260,263,258.55,
04/21/2022,260.4,259.7,264.45,259.6,
04/20/2022,259.55,262.9,265.45,257.55,
04/19/2022,261.55,272,272.5,258.8,
04/18/2022,270.1,268,272.5,267.25,
04/13/2022,269.55,265.3,270.6,263.65,
04/12/22,264.8,266.9,268.65,263.1,
04/11/22,267.5,268.75,273.15,266,
04/08/22,267.8,258,268.85,256,
04/07/22,256.65,258,262.2,255.8,
04/06/22,259.6,257.5,263.35,257.3,
04/05/22,259.45,256.05,261.85,255.1,
04/04/22,255.45,253.1,257.9,251.1,
04/01/22,253.3,250,255.35,248.8,
03/31/2022,250.65,249.6,254.35,249.5,
