Date,Asian_Paints,Axis_Bank,Bajaj_Finance,DRL,ICICI_Bank,Induslnd_Bank,Nestle_India,Reliance_Industries,Sun_Pharma,Titan_Company,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,BSE Index
2019-07-02,1359.9,788.95,3627.6,2578.15,438.6,1435.3,1162.13,1169.01,399.3,1309.3,219.35,16524.95,445.79,788.15,2215.85,1575.8,3182.25,10818.35,1253.1,397.15,39592.08
2019-07-09,1352.35,806.3,3713.95,2597.05,436.0,1470.15,1162.95,1157.91,395.65,1327.9,214.95,16715.2,467.78,790.45,2273.6,1579.45,3207.15,10929.65,1331.75,387.2,39839.25
2019-07-16,1322.85,768.5,3426.55,2583.95,430.95,1487.75,1137.91,1154.38,392.05,1101.2,208.85,15915.45,452.25,726.55,2225.0,1398.05,3144.45,10921.9,1212.8,384.9,38557.04
2019-07-23,1394.85,752.65,3461.55,2666.65,424.7,1500.7,1152.16,1157.27,429.95,1109.55,219.25,15999.55,440.67,729.85,2242.8,1465.25,3324.85,10903.15,1220.7,416.45,39215.64
2019-07-30,1483.6,711.1,3171.6,2597.9,408.55,1361.45,1130.61,1136.73,425.7,1086.85,215.7,14673.0,440.25,695.8,2145.8,1595.0,3239.35,10554.95,1182.6,376.5,37847.65
2019-08-06,1521.25,674.4,3250.9,2574.6,424.5,1413.0,1149.44,1052.93,426.75,1056.15,201.9,14438.8,425.89,645.3,2244.9,1557.2,3394.6,10902.35,1144.75,346.35,37481.12
2019-08-13,1559.0,660.05,3265.95,2556.1,408.4,1426.6,1159.31,1001.46,421.65,1029.5,204.9,13976.4,374.69,644.55,2153.4,1498.95,3259.85,10437.85,1101.45,350.4,36690.5
2019-08-20,1569.15,663.2,3288.85,2511.2,417.35,1400.45,1203.08,1163.37,417.05,1083.6,214.0,13371.1,470.13,654.55,2179.4,1599.5,2985.55,10295.4,1162.8,351.55,37311.53
2019-08-27,1589.45,665.0,3260.8,2503.4,412.2,1365.9,1258.74,1147.57,417.3,1064.85,201.1,13687.95,442.91,650.65,2139.3,1624.8,2850.2,10287.05,1151.9,340.15,37060.37
2019-09-03,1603.7,678.1,3326.45,2511.05,413.05,1365.05,1251.47,1140.57,412.75,1110.8,205.0,14198.45,538.57,666.2,2004.35,1659.25,3006.45,10054.9,1177.95,340.05,37451.84
2019-09-10,1534.9,646.95,3250.05,2601.7,397.5,1317.35,1246.52,1085.03,426.4,1037.5,190.9,13394.55,521.05,636.0,2118.0,1641.2,3061.75,10101.85,1167.8,330.9,36724.74
