Date,Asian_Paints,Axis_Bank,Bajaj_Finance,DRL,ICICI_Bank,Induslnd_Bank,Nestle_India,Reliance_Industries,Sun_Pharma,Titan_Company,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,BSE Index
2022-11-01,3157.05,871.75,7207.55,4539.8,908.7,1151.45,2059.09,2306.17,1033.1,2753.2,544.05,16599.3,4526.95,1220.75,4000.75,1820.7,2921.35,14080.15,2945.25,2797.8,61121.35
2022-12-01,3181.1,903.0,6747.0,4472.25,939.95,1173.3,2004.99,2482.3,1046.15,2639.05,580.95,17038.4,4385.35,1250.4,4029.35,1944.15,3122.0,14268.45,2774.95,2818.1,63284.19
2023-01-01,3046.35,941.45,6556.75,4237.75,903.0,1226.7,1956.39,2347.56,997.1,2565.8,526.5,17169.65,3897.3,1100.6,3911.5,2042.75,3024.0,14273.3,2828.35,2785.3,61167.79
2023-02-01,2743.7,857.15,5817.45,4350.5,846.65,1041.6,1907.62,2131.41,1014.15,2347.15,334.1,17118.05,2806.6,1198.0,3630.0,2084.9,3025.7,13819.8,2945.1,2616.9,59708.08
2023-03-01,2841.4,865.25,6156.8,4346.95,856.05,1100.35,1879.52,2136.15,958.9,2382.2,353.6,18302.25,2929.9,1214.55,3510.85,1843.7,3162.75,13913.3,3257.15,2782.95,59411.08
2023-04-01,2777.4,864.45,5713.0,4658.1,884.25,1079.15,1969.82,2125.67,977.9,2537.45,374.8,19434.25,2893.0,1188.95,3695.75,1900.0,3274.95,14031.35,3352.75,2561.85,59106.44
2023-05-01,2899.0,870.55,6248.3,4956.7,921.7,1151.15,2173.28,2225.31,972.45,2661.15,394.4,19798.3,2909.1,1225.6,3804.3,2067.4,3633.15,13895.45,3500.1,2582.35,61354.71
2023-06-01,3240.45,919.5,7040.8,4551.2,936.05,1291.25,2185.89,2244.45,987.5,2826.7,429.25,18602.0,3909.5,1331.9,4218.65,2343.8,3616.55,13621.15,3534.3,2885.7,62428.54
2023-07-01,3358.3,982.1,7335.35,5100.4,942.0,1379.65,2262.92,2384.07,1032.15,3037.85,435.85,19016.05,4357.4,1290.6,4476.4,2638.2,3817.15,14327.25,3727.45,3181.9,65205.05
2023-08-01,3341.85,960.45,7268.8,5664.15,995.1,1393.95,2261.51,2512.65,1143.65,3001.1,461.55,18995.85,4135.55,1321.0,4655.75,2570.75,3870.0,15570.6,3890.95,3059.75,66459.31
2023-09-01,3259.95,991.35,7317.0,5578.2,969.05,1417.3,2190.45,2413.05,1108.5,3115.95,433.9,18986.8,5057.25,1377.75,4372.35,2438.9,4136.25,16119.25,3887.05,2988.15,65387.16
2023-10-01,3166.6,1040.0,7968.95,5459.8,940.35,1435.65,2233.82,2318.25,1141.95,3196.85,432.2,18762.85,5297.45,1387.7,4114.5,2419.75,4087.15,17786.65,3569.65,3012.1,65512.1
2023-11-01,2935.35,971.45,7473.25,5347.6,914.4,1431.8,2386.93,2296.65,1116.15,3173.85,406.65,19358.4,5181.3,1240.75,4096.65,2418.8,3916.05,17816.1,3325.65,3105.25,63591.33
2023-12-01,3172.7,1103.8,7256.15,5747.4,946.35,1461.15,2434.38,2393.45,1231.25,3488.55,442.0,22083.55,5951.65,1312.45,4572.9,2744.95,4043.3,17393.15,3753.1,3291.7,67481.19
