Date,Apollo_Hospitals,Bajaj_Auto,Britannia_Industries,Hero_MotoCorp,Infosys,ITC,LTIMindTree,Maruti_Suzuki,TCS,Wipro,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,NSE Index
2022-08-01,4288.1,3973.3,3855.65,2840.8,1551.05,307.5,4769.05,9003.4,3298.8,429.0,375.4,17649.35,3748.2,1287.9,4341.0,1891.4,3160.75,14672.35,2758.85,2023.0,17340.05
2022-09-01,4277.15,4076.3,3718.15,2876.65,1464.2,317.6,4533.85,9024.5,3131.7,410.45,409.8,17663.05,4071.8,1384.95,4257.65,2038.35,3104.05,13997.6,2920.85,2261.15,17542.8
2022-10-01,4365.2,3515.35,3768.95,2525.55,1393.75,324.4,4450.7,8547.0,2984.95,394.5,488.65,15618.9,4299.1,1323.15,3804.6,1796.85,2921.75,14001.8,2707.0,2699.45,16887.35
2022-11-01,4511.35,3732.7,3788.0,2673.15,1573.0,349.5,4845.65,9454.6,3259.7,392.4,544.05,16599.3,4526.95,1220.75,4000.75,1820.7,2921.35,14080.15,2945.25,2797.8,18145.4
2022-12-01,4775.7,3707.6,4401.25,2871.8,1657.1,339.55,5010.45,8958.15,3475.65,413.7,580.95,17038.4,4385.35,1250.4,4029.35,1944.15,3122.0,14268.45,2774.95,2818.1,18812.5
2023-01-01,4454.35,3573.95,4292.15,2715.9,1524.0,332.85,4322.1,8403.3,3261.45,393.05,526.5,17169.65,3897.3,1100.6,3911.5,2042.75,3024.0,14273.3,2828.35,2785.3,18197.45
2023-02-01,4262.65,3811.3,4370.95,2727.25,1551.1,361.4,4388.1,8768.85,3408.35,402.4,334.1,17118.05,2806.6,1198.0,3630.0,2084.9,3025.7,13819.8,2945.1,2616.9,17616.3
2023-03-01,4413.8,3731.65,4379.8,2431.1,1496.05,378.7,4743.8,8764.15,3385.7,390.95,353.6,18302.25,2929.9,1214.55,3510.85,1843.7,3162.75,13913.3,3257.15,2782.95,17450.9
2023-04-01,4234.35,3993.75,4324.05,2431.1,1410.85,378.9,4739.85,8503.05,3200.0,367.95,374.8,19434.25,2893.0,1188.95,3695.75,1900.0,3274.95,14031.35,3352.75,2561.85,17398.05
2023-05-01,4490.8,4498.0,4511.05,2495.9,1277.45,424.45,4548.25,8776.85,3219.4,388.35,394.4,19798.3,2909.1,1225.6,3804.3,2067.4,3633.15,13895.45,3500.1,2582.35,18147.65
2023-06-01,4814.25,4643.6,4635.25,2800.4,1319.5,439.7,4969.3,9328.3,3324.0,407.15,429.25,18602.0,3909.5,1331.9,4218.65,2343.8,3616.55,13621.15,3534.3,2885.7,18487.75
2023-07-01,5068.5,4610.65,5008.3,2898.75,1333.7,463.25,5211.35,9673.0,3272.3,391.6,435.85,19016.05,4357.4,1290.6,4476.4,2638.2,3817.15,14327.25,3727.45,3181.9,19322.55
2023-08-01,5032.4,4923.95,4817.35,3102.1,1365.2,464.8,4977.45,9716.75,3452.05,406.95,461.55,18995.85,4135.55,1321.0,4655.75,2570.75,3870.0,15570.6,3890.95,3059.75,19733.55
2023-09-01,4840.35,4668.45,4484.35,2927.4,1443.85,441.05,5303.35,10331.25,3379.2,416.35,433.9,18986.8,5057.25,1377.75,4372.35,2438.9,4136.25,16119.25,3887.05,2988.15,19435.3
2023-10-01,5118.95,5016.45,4495.45,3015.6,1434.0,439.75,5212.75,10346.9,3513.85,405.45,432.2,18762.85,5297.45,1387.7,4114.5,2419.75,4087.15,17786.65,3569.65,3012.1,19528.75
2023-11-01,4796.55,5344.35,4397.3,3092.45,1354.15,428.1,4998.7,10227.75,3330.65,380.95,406.65,19358.4,5181.3,1240.75,4096.65,2418.8,3916.05,17816.1,3325.65,3105.25,18989.15
2023-12-01,5591.15,6046.05,4970.75,3760.0,1452.3,449.8,5577.05,10585.7,3511.65,407.65,442.0,22083.55,5951.65,1312.45,4572.9,2744.95,4043.3,17393.15,3753.1,3291.7,20267.9
