Symbol,Date,Expiry,Strike Price,Stock Price,Call Price,Put Price
APOLLOHOSP,29-Dec-22,29-Dec-22,3550,4524.45,962.65,67.45
APOLLOHOSP,29-Dec-22,29-Dec-22,4550,4524.45,1.1,21.75
APOLLOHOSP,29-Dec-22,29-Dec-22,4100,4524.45,573.2,0.05
APOLLOHOSP,29-Dec-22,29-Dec-22,5400,4524.45,0.05,1040.15
APOLLOHOSP,29-Dec-22,29-Dec-22,4950,4524.45,0.05,292.8
APOLLOHOSP,29-Dec-22,29-Dec-22,4900,4524.45,0.05,375
APOLLOHOSP,29-Dec-22,29-Dec-22,2850,4524.45,1590.75,6.1
APOLLOHOSP,29-Dec-22,29-Dec-22,5200,4524.45,0.1,879.95
APOLLOHOSP,29-Dec-22,29-Dec-22,5000,4524.45,0.05,511.4
APOLLOHOSP,29-Dec-22,29-Dec-22,4200,4524.45,515.55,0.4
APOLLOHOSP,29-Dec-22,29-Dec-22,3500,4524.45,1003.55,59.1
APOLLOHOSP,29-Dec-22,29-Dec-22,3650,4524.45,883.35,86.65
APOLLOHOSP,29-Dec-22,29-Dec-22,4600,4524.45,0.3,70.05
APOLLOHOSP,29-Dec-22,29-Dec-22,3200,4524.45,1263.75,23.85
APOLLOHOSP,29-Dec-22,25-Jan-23,4400,4524.45,238.7,82.25
APOLLOHOSP,29-Dec-22,25-Jan-23,5050,4524.45,20.3,721.75
APOLLOHOSP,29-Dec-22,25-Jan-23,4500,4524.45,182.1,120.9
APOLLOHOSP,29-Dec-22,25-Jan-23,5400,4524.45,10,993.75
APOLLOHOSP,29-Dec-22,25-Jan-23,4750,4524.45,79.1,227.65
APOLLOHOSP,29-Dec-22,25-Jan-23,4900,4524.45,44.7,304
APOLLOHOSP,29-Dec-22,25-Jan-23,3000,4524.45,1487.75,8.1
APOLLOHOSP,29-Dec-22,25-Jan-23,5000,4524.45,30.4,424.75
APOLLOHOSP,29-Dec-22,25-Jan-23,5500,4524.45,7.5,1076.65
APOLLOHOSP,29-Dec-22,25-Jan-23,2850,4524.45,1631.35,4.1
APOLLOHOSP,29-Dec-22,25-Jan-23,3700,4524.45,871.95,4.5
APOLLOHOSP,29-Dec-22,25-Jan-23,3100,4524.45,1393.45,12.25
APOLLOHOSP,29-Dec-22,25-Jan-23,3400,4524.45,1121.1,35.1
APOLLOHOSP,29-Dec-22,25-Jan-23,3900,4524.45,723.15,10.45
APOLLOHOSP,29-Dec-22,25-Jan-23,4650,4524.45,112.8,221.85
APOLLOHOSP,29-Dec-22,25-Jan-23,3300,4524.45,1209.8,25.4
APOLLOHOSP,29-Dec-22,25-Jan-23,4550,4524.45,156,145.25
APOLLOHOSP,29-Dec-22,25-Jan-23,5150,4524.45,160.25,796.4
APOLLOHOSP,29-Dec-22,25-Jan-23,5200,4524.45,14.05,834.65
APOLLOHOSP,29-Dec-22,25-Jan-23,4300,4524.45,474.3,55.15
APOLLOHOSP,29-Dec-22,25-Jan-23,3600,4524.45,951.85,62.65
APOLLOHOSP,29-Dec-22,25-Jan-23,4000,4524.45,614.65,15.4
APOLLOHOSP,29-Dec-22,25-Jan-23,4250,4524.45,381,252.1
APOLLOHOSP,29-Dec-22,25-Jan-23,3250,4524.45,1255,21.4
APOLLOHOSP,29-Dec-22,25-Jan-23,2700,4524.45,1776.75,1.9
APOLLOHOSP,29-Dec-22,25-Jan-23,3200,4524.45,1300.7,17.9
APOLLOHOSP,29-Dec-22,25-Jan-23,4800,4524.45,66.15,314
APOLLOHOSP,29-Dec-22,25-Jan-23,3150,4524.45,1346.85,14.85
APOLLOHOSP,29-Dec-22,25-Jan-23,5100,4524.45,20.15,758.8
APOLLOHOSP,29-Dec-22,25-Jan-23,3950,4524.45,688.35,143.6
APOLLOHOSP,29-Dec-22,25-Jan-23,5550,4524.45,11,1118.85
APOLLOHOSP,29-Dec-22,25-Jan-23,4850,4524.45,54.3,348.4
APOLLOHOSP,29-Dec-22,25-Jan-23,4100,4524.45,590.1,23.05
APOLLOHOSP,29-Dec-22,25-Jan-23,3500,4524.45,1035,47.4
APOLLOHOSP,29-Dec-22,25-Jan-23,3550,4524.45,993.05,54.65
APOLLOHOSP,29-Dec-22,25-Jan-23,4150,4524.45,559.55,48.6
APOLLOHOSP,29-Dec-22,25-Jan-23,4600,4524.45,133.4,170.4
APOLLOHOSP,29-Dec-22,25-Jan-23,5300,4524.45,10.15,913.1
APOLLOHOSP,29-Dec-22,25-Jan-23,5450,4524.45,103.6,1034.95
APOLLOHOSP,29-Dec-22,25-Jan-23,3800,4524.45,795.6,6.8
APOLLOHOSP,29-Dec-22,25-Jan-23,4950,4524.45,33.1,650.35
APOLLOHOSP,29-Dec-22,25-Jan-23,4350,4524.45,448.05,68.8
APOLLOHOSP,29-Dec-22,25-Jan-23,4200,4524.45,530.05,35.95
APOLLOHOSP,29-Dec-22,25-Jan-23,3850,4524.45,759,115.8
APOLLOHOSP,29-Dec-22,25-Jan-23,4450,4524.45,398.65,99.85
APOLLOHOSP,29-Dec-22,25-Jan-23,3650,4524.45,911.45,71.5
APOLLOHOSP,29-Dec-22,25-Jan-23,3750,4524.45,833.3,91.75
APOLLOHOSP,29-Dec-22,25-Jan-23,3350,4524.45,1165.15,29.95
APOLLOHOSP,29-Dec-22,25-Jan-23,5350,4524.45,120.1,953.05
APOLLOHOSP,29-Dec-22,25-Jan-23,2800,4524.45,1679.65,3.2
APOLLOHOSP,29-Dec-22,25-Jan-23,5250,4524.45,139.05,873.6
APOLLOHOSP,29-Dec-22,25-Jan-23,4050,4524.45,621.75,27.05
APOLLOHOSP,29-Dec-22,25-Jan-23,3050,4524.45,1440.45,10
APOLLOHOSP,29-Dec-22,25-Jan-23,2750,4524.45,1728.15,2.5
APOLLOHOSP,29-Dec-22,25-Jan-23,3450,4524.45,1077.7,40.9
APOLLOHOSP,29-Dec-22,25-Jan-23,2950,4524.45,1535.35,6.55
APOLLOHOSP,29-Dec-22,25-Jan-23,4700,4524.45,95.2,229.3
